observed_at_utc,window,rank,referrer,visits_14d,unique_visitors_14d
2026-08-12T07:04:15Z,rolling_14d,1,github.com,85,8
2026-08-12T07:04:15Z,rolling_14d,2,linkedin.com,5,5
2026-08-12T07:04:15Z,rolling_14d,3,Google,4,3
2026-08-12T07:04:15Z,rolling_14d,4,Bing,1,1
2026-08-12T07:04:15Z,rolling_14d,5,news.ycombinator.com,1,1
2026-08-12T07:56:14Z,rolling_14d,1,github.com,85,8
2026-08-12T07:56:14Z,rolling_14d,2,linkedin.com,5,5
2026-08-12T07:56:14Z,rolling_14d,3,Google,4,3
2026-08-12T07:56:14Z,rolling_14d,4,Bing,1,1
2026-08-12T07:56:14Z,rolling_14d,5,news.ycombinator.com,1,1
2026-08-12T13:52:21Z,rolling_14d,1,github.com,85,8
2026-08-12T13:52:21Z,rolling_14d,2,linkedin.com,5,5
2026-08-12T13:52:21Z,rolling_14d,3,Google,4,3
2026-08-12T13:52:21Z,rolling_14d,4,Bing,1,1
2026-08-12T13:52:21Z,rolling_14d,5,news.ycombinator.com,1,1
2026-08-12T19:30:33Z,rolling_14d,1,github.com,85,8
2026-08-12T19:30:33Z,rolling_14d,2,linkedin.com,5,5
2026-08-12T19:30:33Z,rolling_14d,3,Google,4,3
2026-08-12T19:30:33Z,rolling_14d,4,Bing,1,1
2026-08-12T19:30:33Z,rolling_14d,5,news.ycombinator.com,1,1
2026-08-13T03:02:47Z,rolling_14d,1,github.com,85,8
2026-08-13T03:02:47Z,rolling_14d,2,linkedin.com,5,5
2026-08-13T03:02:47Z,rolling_14d,3,Google,4,3
2026-08-13T03:02:47Z,rolling_14d,4,Bing,1,1
2026-08-13T03:02:47Z,rolling_14d,5,news.ycombinator.com,1,1
2026-08-13T07:57:04Z,rolling_14d,1,github.com,90,8
2026-08-13T07:57:04Z,rolling_14d,2,linkedin.com,5,5
2026-08-13T07:57:04Z,rolling_14d,3,Google,4,3
2026-08-13T07:57:04Z,rolling_14d,4,Bing,1,1
2026-08-13T07:57:04Z,rolling_14d,5,news.ycombinator.com,1,1
2026-08-13T13:52:03Z,rolling_14d,1,github.com,90,8
2026-08-13T13:52:03Z,rolling_14d,2,linkedin.com,5,5
